model,feature_set,random_seed,test_size,feature_dimension,r2,mae,rmse,mape,test_pred_1,test_pred_2,test_pred_3,test_in_range,r2_above_07,conditions_met
SVR,maccs,325,0.3,167,0.182304143,1.896030583,2.688932816,2.70322E+15,2.167084548,2.480869635,2.386930735,FALSE,FALSE,FALSE
CatBoost,all,275,0.3,1408,0.18034857,6.986022509,9.578223001,2.07632E+15,6.550136955,6.376881546,7.565410555,FALSE,FALSE,FALSE
RandomForest,morgan,275,0.3,512,0.179504303,6.69808,9.583154665,6.037E+14,3.34859,4.738,4.41973,FALSE,FALSE,FALSE
KNN,morgan,275,0.2,512,0.178858812,8.06455,10.42980185,4.55246E+15,11.3438,11.3438,11.3438,TRUE,FALSE,FALSE
CatBoost,morgan,350,0.3,512,0.172355468,9.31016291,14.33305003,3.2359E+15,3.799719439,3.582311373,3.433595547,FALSE,FALSE,FALSE
XGBoost,all,400,0.3,1408,0.168333371,7.573607261,9.590850914,3.914003952,6.973062515,16.48044586,1.535548806,FALSE,FALSE,FALSE
CatBoost,morgan,275,0.3,512,0.163470972,6.67511626,9.676334017,9.65952E+14,4.738582347,7.079909722,6.007510856,FALSE,FALSE,FALSE
RandomForest,maccs,350,0.3,167,0.156686051,10.51922167,14.46809439,2.15872E+15,7.95776,7.79401,8.54556,FALSE,FALSE,FALSE
CatBoost,morgan,400,0.2,512,0.151820397,8.44985869,10.17818029,0.893112631,7.062564687,10.65921861,9.270712866,FALSE,FALSE,FALSE
KNN,all,275,0.2,1408,0.137944037,8.1416,10.68648472,1.52514E+15,10.4498,11.9588,11.9588,TRUE,FALSE,FALSE
XGBoost,morgan,400,0.3,512,0.136116117,7.762686164,9.774851949,3.892019311,7.373064518,16.48062706,0.925154865,FALSE,FALSE,FALSE
SVR,morgan,250,0.2,512,0.135282742,2.373978584,3.137814339,1.378561629,2.289781042,2.532458621,2.384757549,FALSE,FALSE,FALSE
SVR,descriptors,325,0.2,217,0.133661963,2.265487357,3.164204767,1.651E+15,2.798109198,2.500432272,2.654491322,FALSE,FALSE,FALSE
SVR,maccs,250,0.2,167,0.132781834,2.218252885,3.142348607,1.147022841,2.009636135,2.389967485,2.215920203,FALSE,FALSE,FALSE
KNN,descriptors,250,0.2,217,0.132507491,2.7432,3.142845605,2.549356713,19.0976,13.5406,19.0976,TRUE,FALSE,FALSE
SVR,morgan,325,0.2,512,0.132096122,2.17883762,3.167063007,1.75585E+15,2.149222085,2.337142228,2.237774427,FALSE,FALSE,FALSE
CatBoost,all,275,0.2,1408,0.131853479,8.451948312,10.72416911,2.66405E+15,8.519417652,10.07903781,9.468656487,FALSE,FALSE,FALSE
SVR,descriptors,250,0.3,217,0.131633359,1.790668257,2.583741541,0.978078161,2.831130804,2.453509697,2.727085086,FALSE,FALSE,FALSE
KNN,rdkit,275,0.2,512,0.130360757,8.1032,10.7333849,8.90812E+14,1.0944,11.1506,11.7962,FALSE,FALSE,FALSE
SVR,maccs,325,0.2,167,0.12825829,2.182174399,3.174057589,1.66804E+15,2.039009526,2.358664865,2.259133946,FALSE,FALSE,FALSE
SVR,descriptors,250,0.2,217,0.12417317,2.34025213,3.157906757,1.311379495,2.752450451,2.457342414,2.665774038,FALSE,FALSE,FALSE
RandomForest,morgan,350,0.3,512,0.112062566,9.48904,14.84594593,3.07405E+15,5.60163,5.69816,5.38754,FALSE,FALSE,FALSE
