smiles,alter,split,number,group,CAS
C(C[C@@H](C(=O)O)N)[C@H](C(=O)O)N  ,1,1.071,94,O,
C1=CC(=CC=C1NCC(=O)O)NCC(=O)O  ,0,,95,O,
C1=CC(=CC=C1C#CC=O)C#CC=O  ,0,,96,O,
C1=CC2=C(C=C1S(=O)(=O)[O-])C(=O)C3=C(C2=O)C=C(C=C3)S(=O)(=O)[O-]  ,0,,97,O,
C1=CC(=CC=C1/C=C(\C(=C/C2=CC=C(C=C2)O)\C#N)/C#N)O  ,1,2.783,98,O,
C#CC(=O)CCCCC(=O)C#C  ,0,,99,O,
CC(C)(C1=CC(=C(C=C1)C(=O)O)N)C2=CC(=C(C=C2)C(=O)O)N  ,0,,100,O,
C1=CC(=C(C=C1C2=CC(=C(C=C2)C(=O)[O-])F)F)C(=O)[O-]  ,0,,101,O,
C1=CC(=CC=C1/C=C/C=O)/C=C/C=O  ,0,,102,O,
C1=COC=C1C(=O)C(=O)C2=COC=C2  ,0,,103,O,
C1=CC(=CC=C1C(CO)(F)F)C(CO)(F)F  ,0,,104,O,
C(CCC(=O)NCO)CC(=O)NCO  ,1,0,105,O,
C1=CC(=CC=C1OC(=O)C=O)OC(=O)C=O  ,0,,106,O,
C1=CC(=CC=C1C(=O)NCCNC(=O)C2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-]  ,0,,107,O,
C1=C2C(=CC3=C1C(=O)N(C3=O)O)C(=O)N(C2=O)O  ,0,,108,O,
CC(C1=CC=C(C=C1)C(C)C(=O)O)C(=O)O  ,0,,109,O,
C(COC(=O)/C=C/C(=O)OCCO)O  ,0,,110,O,
C1=C(C(=CC(=C1N)C(=O)N)N)C(=O)N  ,0,,111,O,
COC1=CC(=C(C=C1C=O)OC)C=O  ,0,,112,O,
CCOC1=CC(=C(C=C1C(=O)N)OCC)C(=O)N  ,0,,113,O,
C(=C/N=C=O)\N=C=O  ,0,,114,O,
C=C1C=C(C(=C)C=C1C=O)C=O  ,0,,115,O,
C(=O)(C(=O)[N+](=O)[O-])[N+](=O)[O-]  ,0,,116,O,
C1=C(N=CC(=N1)[C@H]([C@H]([C@@H](CO)O)O)O)[C@H]([C@H]([C@@H](CO)O)O)O  ,0,,117,O,
C1=C(C=C(C(=C1NCO)C2C(C(C2O)C3=C(C=C(C=C3O)O)NC=O)O)O)O  ,0,,118,O,
C1=C(C(=CC(=C1N)C(=O)[O-])N)C(=O)[O-]  ,0,,119,O,
C1=CC(=CC=C1CC(C(=O)O)N)CC(C(=O)O)N  ,0,,120,O,
C1N(C1)/C(=N\O)/C2=CC=C(C=C2)/C(=N/O)/N3CC3  ,0,,121,O,
CC(C)(CCCCC(C)(C)C(=O)O)C(=O)O  ,0,,122,O,
C1(=C(C(=C(C(=C1F)F)C(=O)[O-])F)F)C(=O)[O-]  ,0,,123,O,
C1=CC(=CC=C1/C(=N/O)/Cl)/C(=N/O)/Cl  ,0,,124,O,
C1=CC(=CC=C1C=NCCO)C=NCCO  ,0,,125,O,
